typeID,name,max,min,buy_max,buy_min,sell_max,sell_min
2366,危险物质探测系统,399300,1000,58310,1000,399300,388200
2367,冷冻保存防腐剂,700000,1000,504000,1000,700000,517700
9848,机器人技术,505800,1000,297500,1000,505800,336800
12836,透颅微控器,418300,1000,285500,1000,418300,352400
28974,疫苗,311800,1000,15880,1000,311800,211000
2352,核反应堆,337000,1000,258200,1000,337000,305900
17898,高科技传信器,548400,1000,323000,1000,548400,399800
17392,数据芯片,679800,1000,216900,1000,679800,367800
9834,制导系统,310900,1000,228500,1000,310900,304200
2351,灵巧单元建筑模块,311800,1000,237400,1000,311800,310800
17136,乌克米超导体,287600,1000,230000,1000,287600,269400
2358,生物技术研究报告,320000,1000,203600,1000,320000,320000
2361,密封薄膜,425000,1000,301700,1000,425000,338300
2345,监控无人机,204100,1000,204100,1000,0,0
2344,凝缩液,226100,1000,160200,1000,226100,212000
9846,大气内穿梭机,421000,1000,321100,1000,421000,418600
2871,递推计算机模块,9786000,10000,4516000,10000,9786000,5177000
2867,广播节点,9993000,10000,6200000,10000,9993000,6665000
2868,反破损快速反应无人机,9990000,10000,6945000,10000,9990000,7265000
2870,有机砂浆喷注器,6512000,10000,3500000,10000,6512000,4692000
2872,自协调能源核心,11230000,10000,6201000,10000,11230000,6780000
2875,无菌管道,6862000,10000,3203000,10000,6862000,3556000
2869,纳米-工厂,5977000,10000,2422000,10000,5977000,2854000
2876,湿件主机,8087000,10000,7202000,10000,8087000,7579000
16642,钒,2689,551,1288,551,2689,1500
16647,铯,5500,1011,3455,1011,5500,3924
16636,硅酸盐,1021,367.1,455,367.1,1021,469.9
16653,铥,35100,8000,16690,8000,35100,17240
16634,标准大气,1366,623.1,733,623.1,1366,748
16637,钨,1400,526,977,526,1400,978.6
16644,铂,2000,860,1589,860,2000,1695
16638,钛,2223,600,877,600,2223,905.8
16649,锝,4738,2130,4380,2130,4738,4386
16635,蒸发岩沉积物,1142,400,499,400,1142,499.9
16652,钷,48000,30200,39580,30200,48000,41370
16640,钴,1343,580.1,738,580.1,1343,765.3
16651,钕,46800,2880,37800,2880,46800,38370
16646,汞,2799,1210,1566,1210,2799,1579
16648,铪,7219,4302,6488,4302,7219,6797
16641,铬,2400,869,1055,869,2400,1206
16633,烃类,1348,610,818.1,610,1348,836.9
16650,镝,43880,29000,39690,29000,43880,42130
16639,钪,1500,500.3,968,500.3,1500,987.2
16643,镉,1266,701.2,811.2,701.2,1266,832.4
57448,AV复合分子冷凝器,2393000,180500,1817000,180500,2393000,2290000
57452,等向性沉积指南,58010000,10000,41890000,10000,58010000,42950000
57445,LM复合分子冷凝器,1818000,23500,1093000,23500,1818000,1357000
57446,AG复合分子冷凝器,4901000,1451000,1502000,1451000,4901000,1737000
57443,分子变换合成器,999800000,909600,515300000,909600,999800000,549600000
57447,CV复合分子冷凝器,5510000,130800,1308000,130800,5510000,1900000
57451,加强型电子神经信号装置,241900000,84970,84600000,84970,241900000,108600000
57449,纳米校正匣,999900000,38990,341100000,38990,999900000,389900000
57450,电子神经信号装置,879800000,598800,583900000,598800,879800000,608800000
57444,纳米级过滤板,1487000000,1000000,788900000,1000000,1487000000,828800000
57442,抗干扰感应阵列,157800000,73990,90460000,73990,157800000,99640000
30370,富勒体-C50,10280,10,5625,10,10280,7000
30374,富勒体-C84,14410,10,5006,10,14410,10000
30372,富勒体-C70,30000,10,7550,10,30000,9998
30377,富勒体-C320,50000,10,22130,10,50000,34980
30378,富勒体-C540,61200,10,30330,10,61200,30350
30376,富勒体-C32,54000,10,50380,10,54000,51990
30371,富勒体-C60,5222,10,3216,10,5222,4275
30375,富勒体-C28,6036,10,4601,10,6036,5257
30373,富勒体-C72,10000,10,6081,10,10000,7300
25268,琥珀丝胶溶质,117000,51060,60970,51060,117000,116000
28701,鲜绿磷胶溶质,220000,17590,127600,17590,220000,139600
28694,琥珀磷胶溶质,115100,9990,95250,9990,115100,113800
28696,灰绿磷胶溶质,285200,17200,111700,17200,285200,144600
28699,铜绿磷胶溶质,163800,91530,126000,91530,163800,159900
25278,赤红丝胶溶质,745600,89000,89030,89000,745600,470000
28697,金色磷胶溶质,170000,9950,98350,9950,170000,114800
28698,石灰磷胶溶质,195200,80380,96010,80380,195200,130000
28695,天蓝磷胶溶质,238200,90210,100300,90210,238200,130100
25274,鲜绿丝胶溶质,141300,71500,72060,71500,141300,140000
25276,铜绿丝胶溶质,1570000,140500,141500,140500,1570000,199900
25279,天蓝丝胶溶质,590000,100000,100000,100000,590000,198000
25275,灰绿丝胶溶质,183600,100,56020,100,183600,138200
25277,石灰丝胶溶质,149800,50000,82140,50000,149800,120100
25273,金色丝胶溶质,259200,69140,69270,69140,259200,114600
28700,赤红磷胶溶质,157700,50050,92090,50050,157700,141800
4312,氧燃料块,50220,36100,41270,36100,50220,43770
4246,氢燃料块,47390,26010,42190,26010,47390,43560
4247,氦燃料块,450900,25730,42120,25730,450900,45420
4051,氮燃料块,97920,33310,39980,33310,97920,42490
57457,强化碳纤维,62960,319.3,13120,319.3,62960,17990
57456,增压氧化剂,35000,16060,16960,16060,35000,19900
57482,基因保护过滤装置,632500000,30000,30000,30000,632500000,298900000
